Date,Open,High,Low,Close,Volume,Adj Close
2014-03-14,47.18,47.18,47.18,47.18,000,47.18
2014-03-13,47.27,47.27,47.27,47.27,000,47.27
2014-03-12,47.98,47.98,47.98,47.98,000,47.98
2014-03-11,48.20,48.20,48.20,48.20,000,48.20
2014-03-10,48.35,48.35,48.35,48.35,000,48.35
2014-03-07,48.76,48.76,48.76,48.76,000,48.76
2014-03-06,49.05,49.05,49.05,49.05,000,49.05
2014-03-05,48.59,48.59,48.59,48.59,000,48.59
2014-03-04,48.63,48.63,48.63,48.63,000,48.63
2014-03-03,47.78,47.78,47.78,47.78,000,47.78
2014-02-28,48.86,48.86,48.86,48.86,000,48.86
2014-02-27,48.65,48.65,48.65,48.65,000,48.65
2014-02-26,48.47,48.47,48.47,48.47,000,48.47
2014-02-25,48.61,48.61,48.61,48.61,000,48.61
2014-02-24,48.37,48.37,48.37,48.37,000,48.37
2014-02-21,48.20,48.20,48.20,48.20,000,48.20
2014-02-20,47.94,47.94,47.94,47.94,000,47.94
2014-02-19,47.91,47.91,47.91,47.91,000,47.91
2014-02-18,48.21,48.21,48.21,48.21,000,48.21
2014-02-14,47.85,47.85,47.85,47.85,000,47.85
2014-02-13,47.64,47.64,47.64,47.64,000,47.64
2014-02-12,47.50,47.50,47.50,47.50,000,47.50
2014-02-11,47.38,47.38,47.38,47.38,000,47.38
2014-02-10,46.82,46.82,46.82,46.82,000,46.82
2014-02-07,46.90,46.90,46.90,46.90,000,46.90
2014-02-06,46.38,46.38,46.38,46.38,000,46.38
2014-02-05,45.52,45.52,45.52,45.52,000,45.52
2014-02-04,45.51,45.51,45.51,45.51,000,45.51
2014-02-03,45.21,45.21,45.21,45.21,000,45.21
2014-01-31,46.22,46.22,46.22,46.22,000,46.22
2014-01-30,46.50,46.50,46.50,46.50,000,46.50
2014-01-29,46.34,46.34,46.34,46.34,000,46.34
2014-01-28,46.80,46.80,46.80,46.80,000,46.80
2014-01-27,46.37,46.37,46.37,46.37,000,46.37
2014-01-24,46.77,46.77,46.77,46.77,000,46.77
2014-01-23,48.00,48.00,48.00,48.00,000,48.00
2014-01-22,48.40,48.40,48.40,48.40,000,48.40
2014-01-21,48.38,48.38,48.38,48.38,000,48.38
2014-01-17,48.26,48.26,48.26,48.26,000,48.26
2014-01-16,48.45,48.45,48.45,48.45,000,48.45
2014-01-15,48.45,48.45,48.45,48.45,000,48.45
2014-01-14,48.35,48.35,48.35,48.35,000,48.35
2014-01-13,48.02,48.02,48.02,48.02,000,48.02
2014-01-10,48.17,48.17,48.17,48.17,000,48.17
2014-01-09,47.88,47.88,47.88,47.88,000,47.88
2014-01-08,48.07,48.07,48.07,48.07,000,48.07
2014-01-07,47.88,47.88,47.88,47.88,000,47.88
2014-01-06,47.58,47.58,47.58,47.58,000,47.58
2014-01-03,47.59,47.59,47.59,47.59,000,47.59
2014-01-02,47.67,47.67,47.67,47.67,000,47.67
2013-12-31,48.18,48.18,48.18,48.18,000,48.18
2013-12-30,48.14,48.14,48.14,48.14,000,48.14
2013-12-27,48.01,48.01,48.01,48.01,000,48.01
2013-12-26,47.52,47.52,47.52,47.52,000,47.52
2013-12-24,47.87,47.87,47.87,47.87,000,47.41
2013-12-23,47.89,47.89,47.89,47.89,000,47.43
2013-12-20,47.63,47.63,47.63,47.63,000,47.17
2013-12-19,47.41,47.41,47.41,47.41,000,46.96
2013-12-18,47.42,47.42,47.42,47.42,000,46.97
2013-12-17,46.82,46.82,46.82,46.82,000,46.37
2013-12-16,46.99,46.99,46.99,46.99,000,46.54
2013-12-13,46.68,46.68,46.68,46.68,000,46.23
2013-12-12,46.78,46.78,46.78,46.78,000,46.33
2013-12-11,47.09,47.09,47.09,47.09,000,46.64
2013-12-10,47.50,47.50,47.50,47.50,000,47.05
2013-12-09,47.54,47.54,47.54,47.54,000,47.09
2013-12-06,47.16,47.16,47.16,47.16,000,46.71
2013-12-05,46.96,46.96,46.96,46.96,000,46.51
2013-12-04,46.91,46.91,46.91,46.91,000,46.46
2013-12-03,47.24,47.24,47.24,47.24,000,46.79
2013-12-02,47.53,47.53,47.53,47.53,000,47.08
2013-11-29,47.76,47.76,47.76,47.76,000,47.30
2013-11-27,47.38,47.38,47.38,47.38,000,46.93
2013-11-26,47.29,47.29,47.29,47.29,000,46.84
2013-11-25,47.30,47.30,47.30,47.30,000,46.85
2013-11-22,47.03,47.03,47.03,47.03,000,46.58
2013-11-21,46.88,46.88,46.88,46.88,000,46.43
2013-11-20,46.74,46.74,46.74,46.74,000,46.29
2013-11-19,47.01,47.01,47.01,47.01,000,46.56
2013-11-18,47.16,47.16,47.16,47.16,000,46.71
2013-11-15,46.80,46.80,46.80,46.80,000,46.35
2013-11-14,46.44,46.44,46.44,46.44,000,46.00
2013-11-13,46.22,46.22,46.22,46.22,000,45.78
2013-11-12,46.21,46.21,46.21,46.21,000,45.77
2013-11-11,46.25,46.25,46.25,46.25,000,45.81
2013-11-08,46.20,46.20,46.20,46.20,000,45.76
2013-11-07,46.14,46.14,46.14,46.14,000,45.70
2013-11-06,46.63,46.63,46.63,46.63,000,46.18
2013-11-05,46.40,46.40,46.40,46.40,000,45.96
2013-11-04,46.63,46.63,46.63,46.63,000,46.18
2013-11-01,46.58,46.58,46.58,46.58,000,46.13
2013-10-31,46.85,46.85,46.85,46.85,000,46.40
2013-10-30,47.29,47.29,47.29,47.29,000,46.84
