Date,Open,High,Low,Close,Volume,Adj Close
2014-11-14,224.17,224.17,224.17,224.17,000,224.17
2014-11-13,225.70,225.70,225.70,225.70,000,225.70
2014-11-12,225.49,225.49,225.49,225.49,000,225.49
2014-11-11,225.71,225.71,225.71,225.71,000,225.71
2014-11-10,224.47,224.47,224.47,224.47,000,224.47
2014-11-07,222.66,222.66,222.66,222.66,000,222.66
2014-11-06,225.06,225.06,225.06,225.06,000,225.06
2014-11-05,223.86,223.86,223.86,223.86,000,223.86
2014-11-04,224.01,224.01,224.01,224.01,000,224.01
2014-11-03,224.32,224.32,224.32,224.32,000,224.32
2014-10-31,223.74,223.74,223.74,223.74,000,223.74
2014-10-30,222.07,222.07,222.07,222.07,000,222.07
2014-10-29,218.47,218.47,218.47,218.47,000,218.47
2014-10-28,219.25,219.25,219.25,219.25,000,219.25
2014-10-27,217.97,217.97,217.97,217.97,000,217.97
2014-10-24,217.71,217.71,217.71,217.71,000,217.71
2014-10-23,215.20,215.20,215.20,215.20,000,215.20
2014-10-22,212.28,212.28,212.28,212.28,000,212.28
2014-10-21,213.00,213.00,213.00,213.00,000,213.00
2014-10-20,208.49,208.49,208.49,208.49,000,208.49
2014-10-17,206.18,206.18,206.18,206.18,000,206.18
2014-10-16,203.59,203.59,203.59,203.59,000,203.59
2014-10-15,202.94,202.94,202.94,202.94,000,202.94
2014-10-14,204.77,204.77,204.77,204.77,000,204.77
2014-10-13,205.42,205.42,205.42,205.42,000,205.42
2014-10-10,208.63,208.63,208.63,208.63,000,208.63
2014-10-09,210.08,210.08,210.08,210.08,000,210.08
2014-10-08,213.84,213.84,213.84,213.84,000,213.84
2014-10-07,210.15,210.15,210.15,210.15,000,210.15
2014-10-06,213.38,213.38,213.38,213.38,000,213.38
2014-10-03,213.66,213.66,213.66,213.66,000,213.66
2014-10-02,210.09,210.09,210.09,210.09,000,210.09
2014-10-01,210.56,210.56,210.56,210.56,000,210.56
2014-09-30,212.75,212.75,212.75,212.75,000,212.75
