Date,Open,High,Low,Close,Volume,Adj Close
2014-05-21,17.50,17.50,17.50,17.50,000,17.35
2014-05-20,17.37,17.37,17.37,17.37,000,17.22
2014-05-19,17.48,17.48,17.48,17.48,000,17.33
2014-05-16,17.42,17.42,17.42,17.42,000,17.27
2014-05-15,17.35,17.35,17.35,17.35,000,17.20
2014-05-14,17.49,17.49,17.49,17.49,000,17.34
2014-05-13,17.57,17.57,17.57,17.57,000,17.42
2014-05-12,17.54,17.54,17.54,17.54,000,17.39
2014-05-09,17.40,17.40,17.40,17.40,000,17.25
2014-05-08,17.38,17.38,17.38,17.38,000,17.23
2014-05-07,17.39,17.39,17.39,17.39,000,17.24
2014-05-06,17.29,17.29,17.29,17.29,000,17.15
2014-05-05,17.43,17.43,17.43,17.43,000,17.28
2014-05-02,17.40,17.40,17.40,17.40,000,17.25
2014-05-01,17.42,17.42,17.42,17.42,000,17.27
2014-04-30,17.45,17.45,17.45,17.45,000,17.30
2014-04-29,17.41,17.41,17.41,17.41,000,17.26
2014-04-28,17.34,17.34,17.34,17.34,000,17.20
2014-04-25,17.30,17.30,17.30,17.30,000,17.16
2014-04-24,17.43,17.43,17.43,17.43,000,17.28
2014-04-23,17.40,17.40,17.40,17.40,000,17.25
2014-04-22,17.41,17.41,17.41,17.41,000,17.26
2014-04-21,17.35,17.35,17.35,17.35,000,17.20
2014-04-17,17.29,17.29,17.29,17.29,000,17.15
2014-04-16,17.25,17.25,17.25,17.25,000,17.11
2014-04-15,17.08,17.08,17.08,17.08,000,16.94
2014-04-14,16.99,16.99,16.99,16.99,000,16.85
2014-04-11,16.87,16.87,16.87,16.87,000,16.73
2014-04-10,17.03,17.03,17.03,17.03,000,16.89
2014-04-09,17.41,17.41,17.41,17.41,000,17.26
2014-04-08,17.21,17.21,17.21,17.21,000,17.07
2014-04-07,17.15,17.15,17.15,17.15,000,17.01
2014-04-04,17.42,17.42,17.42,17.42,000,17.27
2014-04-03,17.66,17.66,17.66,17.66,000,17.51
2014-04-02,17.64,17.64,17.64,17.64,000,17.49
2014-04-01,17.56,17.56,17.56,17.56,000,17.41
2014-03-31,17.43,17.43,17.43,17.43,000,17.28
2014-03-28,17.28,17.28,17.28,17.28,000,17.14
2014-03-27,17.21,17.21,17.21,17.21,000,17.07
2014-03-26,17.25,17.25,17.25,17.25,000,17.11
2014-03-25,17.37,17.37,17.37,17.37,000,17.22
2014-03-24,17.31,17.31,17.31,17.31,000,17.17
2014-03-21,17.37,17.37,17.37,17.37,000,17.22
2014-03-20,17.43,17.43,17.43,17.43,000,17.28
2014-03-19,17.34,17.34,17.34,17.34,000,17.20
2014-03-18,17.47,17.47,17.47,17.47,000,17.32
2014-03-17,17.34,17.34,17.34,17.34,000,17.20
2014-03-14,17.19,17.19,17.19,17.19,000,17.05
2014-03-13,17.24,17.24,17.24,17.24,000,17.10
2014-03-12,17.43,17.43,17.43,17.43,000,17.28
2014-03-11,17.44,17.44,17.44,17.44,000,17.29
2014-03-10,17.56,17.56,17.56,17.56,000,17.41
2014-03-07,17.58,17.58,17.58,17.58,000,17.43
2014-03-06,17.57,17.57,17.57,17.57,000,17.42
2014-03-05,17.53,17.53,17.53,17.53,000,17.38
2014-03-04,17.58,17.58,17.58,17.58,000,17.43
2014-03-03,17.30,17.30,17.30,17.30,000,17.16
2014-02-28,17.44,17.44,17.44,17.44,000,17.29
2014-02-27,17.40,17.40,17.40,17.40,000,17.25
2014-02-26,17.31,17.31,17.31,17.31,000,17.17
2014-02-25,17.29,17.29,17.29,17.29,000,17.15
2014-02-24,17.33,17.33,17.33,17.33,000,17.19
2014-02-21,17.23,17.23,17.23,17.23,000,17.09
2014-02-20,17.28,17.28,17.28,17.28,000,17.14
2014-02-19,17.16,17.16,17.16,17.16,000,17.02
2014-02-18,17.27,17.27,17.27,17.27,000,17.13
2014-02-14,17.19,17.19,17.19,17.19,000,17.05
2014-02-13,17.13,17.13,17.13,17.13,000,16.99
2014-02-12,17.05,17.05,17.05,17.05,000,16.91
2014-02-11,17.03,17.03,17.03,17.03,000,16.89
2014-02-10,16.85,16.85,16.85,16.85,000,16.71
2014-02-07,16.81,16.81,16.81,16.81,000,16.67
2014-02-06,16.59,16.59,16.59,16.59,000,16.45
2014-02-05,16.40,16.40,16.40,16.40,000,16.26
2014-02-04,16.43,16.43,16.43,16.43,000,16.29
2014-02-03,16.25,16.25,16.25,16.25,000,16.11
2014-01-31,16.65,16.65,16.65,16.65,000,16.51
2014-01-30,16.72,16.72,16.72,16.72,000,16.58
2014-01-29,16.57,16.57,16.57,16.57,000,16.43
2014-01-28,16.78,16.78,16.78,16.78,000,16.64
2014-01-27,16.67,16.67,16.67,16.67,000,16.53
2014-01-24,16.75,16.75,16.75,16.75,000,16.61
2014-01-23,17.13,17.13,17.13,17.13,000,16.99
2014-01-22,17.28,17.28,17.28,17.28,000,17.14
2014-01-21,17.22,17.22,17.22,17.22,000,17.08
2014-01-17,17.20,17.20,17.20,17.20,000,17.06
2014-01-16,17.28,17.28,17.28,17.28,000,17.14
2014-01-15,17.38,17.38,17.38,17.38,000,17.23
2014-01-14,17.26,17.26,17.26,17.26,000,17.12
2014-01-13,17.06,17.06,17.06,17.06,000,16.92
2014-01-10,17.27,17.27,17.27,17.27,000,17.13
2014-01-09,17.23,17.23,17.23,17.23,000,17.09
2014-01-08,17.20,17.20,17.20,17.20,000,17.06
2014-01-07,17.19,17.19,17.19,17.19,000,17.05
2014-01-06,17.07,17.07,17.07,17.07,000,16.93
2014-01-03,17.12,17.12,17.12,17.12,000,16.98
2014-01-02,17.13,17.13,17.13,17.13,000,16.99
2013-12-31,17.28,17.28,17.28,17.28,000,17.14
2013-12-30,17.22,17.22,17.22,17.22,000,17.07
2013-12-27,17.21,17.21,17.21,17.21,000,17.06
2013-12-26,17.22,17.22,17.22,17.22,000,17.07
2013-12-24,17.15,17.15,17.15,17.15,000,17.00
2013-12-23,17.11,17.11,17.11,17.11,000,16.96
2013-12-20,17.01,17.01,17.01,17.01,000,16.86
2013-12-19,16.96,16.96,16.96,16.96,000,16.81
2013-12-18,16.95,16.95,16.95,16.95,000,16.80
2013-12-17,16.69,16.69,16.69,16.69,000,16.55
2013-12-16,16.83,16.83,16.83,16.83,000,16.61
2013-12-13,16.72,16.72,16.72,16.72,000,16.50
2013-12-12,16.73,16.73,16.73,16.73,000,16.51
2013-12-11,16.79,16.79,16.79,16.79,000,16.57
